City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
"Vienna, Austria",181.79,79.56,73.53,78.6,68.36,13.96,26.29,17.32,81.77,2022
"San Antonio, TX, United States",181.72,137.67,51.17,70.59,62.59,2.1,30.38,45.71,80.58,2022
"Jacksonville, FL, United States",181.65,144.3,44.36,69.66,69.51,2.94,35.33,41.74,87.81,2022
"Reykjavik, Iceland",181.5,74.84,78.24,67.15,97.61,7.66,19.83,15.01,68.81,2022
"Sydney, Australia",180.09,104.52,66.34,78.62,83.21,10.39,43.38,27.43,97.07,2022
"Munich, Germany",178.68,95.16,82.49,77.84,77.52,16.24,32.92,24.96,75.98,2022
"Luxembourg, Luxembourg",178.53,100.19,70.28,72.79,82.99,13.52,34.1,21.72,82.62,2022
"Quebec City, Canada",178.42,87.22,84.78,72.76,68.99,4.93,27.53,27.55,47.98,2022
"Cambridge, United Kingdom",178.04,92.85,69.82,74.92,73.05,8.89,33.56,32.18,91.37,2022
"Helsinki, Finland",178.04,83.51,74.51,77.74,77.17,13.14,29.23,13.76,62.79,2022
"Houston, TX, United States",177.62,172.98,36.23,71.77,63.94,2.04,42.02,56.2,85.53,2022
"Melbourne, Australia",177.24,102.16,55.94,76.37,76.76,8.42,40.46,25.87,94.3,2022
"Calgary, Canada",177.23,114.16,64.35,75.53,73.4,3.66,29.97,23.8,33.09,2022
"Cincinnati, OH, United States",177.11,125.17,51.24,68.77,64.39,2.26,25.07,43.92,73.24,2022
"Portland, OR, United States",177.0,108.09,48.52,73.18,76.83,4.55,33.47,30.98,89.56,2022
"Gothenburg, Sweden",176.79,101.17,52.09,68.67,72.97,9.04,25.76,20.7,77.49,2022
"Orlando, FL, United States",176.6,123.32,48.59,63.82,68.1,3.09,36.76,35.03,87.23,2022
"Ottawa, Canada",176.08,94.3,73.59,74.6,73.15,5.58,31.15,21.93,44.46,2022
"Muscat, Oman",176.0,86.53,79.09,59.41,51.24,4.59,20.8,36.31,67.22,2022
"Spokane, WA, United States",175.82,112.36,45.22,63.66,68.11,5.14,23.73,23.63,67.12,2022
"Belfast, United Kingdom",175.41,91.62,55.98,72.56,65.74,4.07,38.92,27.65,90.84,2022
"Boston, MA, United States",174.74,115.72,63.09,75.84,85.47,8.24,45.36,26.83,71.73,2022
"Amsterdam, Netherlands",174.25,94.45,66.37,68.97,80.82,10.06,29.72,30.68,87.45,2022
"Boise, ID, United States",173.95,82.63,63.92,81.26,68.29,6.94,22.26,30.55,65.11,2022
"Saint Louis, MO, United States",173.05,123.2,29.44,80.85,66.83,1.88,27.23,39.04,74.75,2022
"Cleveland, OH, United States",173.01,125.32,35.94,80.36,75.41,1.42,33.74,38.65,73.11,2022
"Frankfurt, Germany",172.95,106.89,55.65,74.85,72.78,11.53,25.01,36.74,84.72,2022
"Valencia, Spain",172.83,70.04,74.91,81.17,52.97,7.46,29.35,43.42,93.84,2022
"Liverpool, United Kingdom",172.7,90.09,52.93,85.71,71.39,10.44,32.64,30.72,90.87,2022
"Vancouver, Canada",172.23,87.68,62.84,75.07,76.61,11.89,36.9,25.01,91.15,2022
"Tampa, FL, United States",172.01,98.28,52.13,68.3,75.83,3.94,35.84,29.2,84.67,2022
"Albuquerque, NM, United States",171.89,122.44,29.34,64.29,63.44,2.86,25.12,27.09,67.06,2022
"Glasgow, United Kingdom",171.71,96.42,54.67,83.24,68.76,8.72,32.75,35.67,84.78,2022
"Tallinn, Estonia",171.17,64.89,77.11,71.88,55.75,9.69,26.62,22.41,64.28,2022
"Indianapolis, IN, United States",170.99,121.53,42.42,73.25,67.14,2.1,29.54,41.78,69.92,2022
"Hamburg, Germany",170.92,101.1,57.53,75.18,72.01,10.9,34.69,30.74,82.75,2022
"Rotterdam, Netherlands",170.69,91.36,63.59,76.26,76.24,6.48,30.03,42.5,87.89,2022
"Pittsburgh, PA, United States",170.56,115.5,60.91,75.58,82.36,2.32,38.06,46.17,72.13,2022
"Nashville, TN, United States",170.5,111.46,53.95,63.95,73.62,3.65,38.98,35.71,83.02,2022
"Stuttgart, Germany",169.47,109.02,69.47,72.11,68.38,10.45,34.12,45.58,81.07,2022
"Anchorage, AK, United States",169.34,118.63,38.8,61.96,91.23,2.66,27.15,16.2,41.61,2022
"Minneapolis, MN, United States",169.2,114.68,45.22,78.9,79.08,3.78,36.31,26.22,49.46,2022
"Edmonton, Canada",169.14,109.54,56.59,78.43,72.86,3.52,29.32,29.37,32.11,2022
"Salt Lake City, UT, United States",169.08,140.61,67.29,71.46,64.95,6.25,35.07,61.93,66.52,2022
"Halifax, Canada",168.85,87.92,59.24,69.29,74.91,5.29,30.46,22.96,58.99,2022
"Cork, Ireland",168.45,84.45,63.73,56.59,76.15,5.53,34.57,28.99,89.78,2022
"Graz, Austria",168.27,79.03,75.0,78.96,74.59,8.93,27.17,40.63,73.93,2022
"Berlin, Germany",167.49,105.86,57.95,69.18,68.94,9.42,34.03,38.93,83.35,2022
"Kaunas, Lithuania",167.09,64.93,62.01,74.09,44.74,8.83,24.04,25.76,68.94,2022
"Denver, CO, United States",166.95,129.98,54.99,69.41,75.16,4.15,36.24,43.92,56.28,2022
"Ljubljana, Slovenia",166.8,60.19,78.55,66.38,57.18,13.32,27.55,23.47,76.11,2022
"Baltimore, MD, United States",166.28,136.13,24.96,77.3,73.56,1.94,31.55,50.38,81.24,2022
"Atlanta, GA, United States",165.8,130.67,36.98,68.65,76.6,3.81,41.86,44.88,89.73,2022
"Vilnius, Lithuania",165.8,62.14,72.67,72.86,46.94,12.2,27.93,23.82,66.59,2022
"Reno, NV, United States",165.75,96.91,55.37,61.23,70.67,4.55,25.1,32.67,62.28,2022
"Oslo, Norway",165.48,85.18,65.62,77.99,102.33,11.01,31.21,23.63,59.99,2022
"Abu Dhabi, United Arab Emirates",165.1,75.22,88.14,72.44,57.89,4.47,26.61,43.65,43.89,2022
"Sacramento, CA, United States",164.71,101.43,51.42,69.04,77.88,7.75,26.99,45.55,90.64,2022
"Tucson, AZ, United States",164.48,83.69,49.81,60.77,64.34,4.05,28.29,26.7,72.66,2022
"Milwaukee, WI, United States",164.04,109.19,33.06,66.8,71.56,2.51,28.54,28.89,60.96,2022
"Stockholm, Sweden",163.76,95.42,53.92,66.42,78.92,12.78,35.38,19.2,69.67,2022
"Mississauga, Canada",163.69,99.7,57.35,69.82,73.12,9.8,38.25,24.2,58.72,2022
"Washington, DC, United States",163.65,121.83,41.29,69.62,83.74,5.45,40.49,40.06,81.62,2022
"Oakland, CA, United States",163.54,111.73,34.43,77.4,92.93,7.2,37.69,39.19,96.4,2022
"Tokyo, Japan",163.1,88.58,76.41,80.46,85.61,13.28,42.19,42.31,85.26,2022
"Auckland, New Zealand",163.06,79.21,54.41,72.9,80.19,12.1,37.3,29.29,99.89,2022
"Bristol, United Kingdom",162.9,84.81,59.46,74.36,71.32,9.34,28.78,43.71,88.51,2022
"Dubai, United Arab Emirates",162.82,101.11,83.7,67.89,64.32,4.43,37.9,50.36,50.27,2022
"Queretaro, Mexico",162.64,51.02,63.86,77.05,35.4,7.26,32.95,37.08,94.46,2022
"Prague, Czech Republic",161.33,71.96,75.83,74.45,51.78,17.65,32.39,34.53,80.67,2022
"Leeds, United Kingdom",160.79,88.49,56.29,82.58,67.57,11.01,31.45,45.73,84.59,2022
"Honolulu, HI, United States",160.78,89.24,54.02,72.53,103.65,7.2,41.19,36.83,95.33,2022
"Cologne, Germany",159.18,89.1,56.84,73.1,69.59,10.09,36.39,40.74,84.85,2022
"Phoenix, AZ, United States",158.95,135.94,48.27,67.15,69.37,3.77,32.62,55.98,53.76,2022
"Zagreb, Croatia",158.79,55.08,78.61,64.61,49.88,13.34,31.44,32.6,82.19,2022
"Antwerp, Belgium",157.55,90.25,63.57,80.53,71.33,5.53,38.32,58.8,85.42,2022
"Brno, Czech Republic",157.25,65.14,73.7,74.89,49.29,14.83,26.13,43.26,78.17,2022
"Bursa, Turkey",157.15,39.95,71.9,78.58,31.48,8.0,33.0,44.54,93.39,2022
"Montreal, Canada",157.0,89.93,69.64,64.19,70.6,7.93,39.48,33.29,52.37,2022
"San Francisco, CA, United States",156.93,133.16,41.41,64.56,93.91,7.12,51.23,49.74,97.26,2022
"Madrid, Spain",156.49,74.83,70.29,80.02,59.01,10.94,35.35,51.86,85.47,2022
"Toronto, Canada",156.34,101.29,58.86,75.94,74.29,10.58,45.1,37.81,65.35,2022
"Kelowna, Canada",156.24,77.45,41.74,74.93,69.73,6.29,28.93,26.59,59.65,2022
"Porto, Portugal",156.11,44.87,64.56,75.2,49.37,13.3,29.51,35.12,96.61,2022
"Las Vegas, NV, United States",154.66,124.83,44.88,56.1,68.34,3.47,27.39,52.93,57.4,2022
"Chicago, IL, United States",154.23,135.26,34.05,65.41,77.06,3.6,41.91,49.26,66.11,2022
"Miami, FL, United States",154.14,93.71,47.19,63.54,78.0,5.32,43.02,39.43,85.69,2022
"Mangalore, India",153.22,47.91,74.69,78.16,23.73,7.64,31.84,46.25,66.65,2022
"Doha, Qatar",152.68,89.93,86.17,73.48,62.9,6.26,30.29,60.12,36.03,2022
"Timisoara, Romania",152.49,54.26,76.83,71.28,36.16,10.1,23.6,56.96,82.05,2022
"Lisbon, Portugal",151.93,48.26,71.12,72.38,51.7,17.75,35.93,35.8,98.59,2022
"Singapore, Singapore",151.59,91.34,72.36,71.07,83.98,17.49,41.22,33.31,57.45,2022
"Philadelphia, PA, United States",151.12,115.61,37.62,69.38,79.19,3.96,40.26,53.49,77.98,2022
"Cluj-Napoca, Romania",150.39,53.12,78.25,63.69,40.16,12.33,29.24,43.92,74.35,2022
"Regina, Canada",150.35,104.02,46.67,66.91,69.44,4.0,17.2,39.86,14.28,2022
"Split, Croatia",149.95,42.48,65.12,64.68,51.59,20.22,16.87,35.61,96.26,2022
"Lyon, France",149.16,82.65,50.28,78.28,77.21,9.11,35.92,52.6,88.51,2022
"Manchester, United Kingdom",148.58,91.33,43.97,78.62,73.14,7.35,40.79,52.96,86.95,2022
"Riyadh, Saudi Arabia",148.26,92.73,73.51,64.55,53.85,2.78,30.01,64.58,44.45,2022
"Bratislava, Slovakia",147.56,62.63,69.71,57.5,49.44,14.56,31.16,40.75,80.72,2022
"Limassol, Cyprus",147.52,55.84,67.37,49.69,65.26,8.07,20.14,53.43,95.74,2022
"Birmingham, United Kingdom",147.34,81.78,38.47,73.48,67.25,7.77,33.13,48.24,87.66,2022
"Cape Town, South Africa",146.98,75.83,26.6,70.35,40.98,5.83,43.09,39.07,98.19,2022
"Winnipeg, Canada",146.93,101.59,42.18,69.16,70.33,3.54,31.46,36.57,24.67,2022
"Riga, Latvia",146.62,52.82,62.22,61.22,51.54,8.79,32.15,37.49,74.7,2022
"Haifa, Israel",146.32,77.61,72.54,74.27,87.44,8.44,29.7,74.79,93.57,2022
"Tel Aviv-Yafo, Israel",146.14,70.22,73.81,74.61,94.49,20.71,36.99,47.01,93.88,2022
"Manama, Bahrain",144.68,62.59,78.92,66.42,54.3,6.19,30.75,61.24,64.31,2022
"Jeddah (Jiddah), Saudi Arabia",143.18,76.08,71.01,58.72,52.57,3.24,28.71,68.18,66.17,2022
"Dublin, Ireland",142.63,81.82,48.3,51.61,79.05,8.11,40.41,40.95,85.89,2022
"Brussels, Belgium",142.44,87.04,48.27,74.57,74.39,6.93,37.0,62.13,83.85,2022
"Los Angeles, CA, United States",142.04,126.12,50.25,61.43,79.19,6.43,61.07,67.59,95.5,2022
"Genoa, Italy",141.97,51.57,58.4,71.55,72.79,8.25,35.04,52.63,95.0,2022
"Hamilton, Canada",141.68,86.35,45.84,80.64,66.95,8.67,33.03,54.77,61.06,2022
"Gdansk, Poland",141.49,64.36,67.95,50.44,41.32,12.73,29.53,47.92,75.51,2022
"Taipei, Taiwan",141.13,59.33,85.68,87.42,65.8,31.6,33.9,50.11,84.38,2022
"Islamabad, Pakistan",140.77,29.52,70.73,63.81,21.5,10.08,35.05,41.71,76.91,2022
"Barcelona, Spain",140.61,70.83,51.9,77.64,61.15,11.44,30.09,66.05,95.73,2022
"Bologna, Italy",139.41,58.89,54.23,79.17,69.79,10.93,32.66,57.1,88.12,2022
"Brasilia, Brazil",139.07,43.54,39.77,51.17,36.84,11.2,29.74,32.89,98.97,2022
"Poznan, Poland",138.84,58.32,72.51,54.18,40.72,10.66,30.48,57.36,77.41,2022
"Thiruvananthapuram, India",138.81,73.73,60.33,60.81,21.75,5.52,42.38,56.82,64.78,2022
"Durban, South Africa",138.54,73.88,19.4,57.71,40.33,3.2,26.11,53.07,95.61,2022
"Nizhny Novgorod, Russia",138.09,34.95,68.3,74.27,33.89,13.78,29.25,34.69,45.51,2022
"New York, NY, United States",137.97,100.0,52.93,62.38,100.0,9.94,42.77,58.02,79.66,2022
"Nicosia, Cyprus",137.87,60.28,67.34,50.72,64.53,6.01,25.25,65.67,86.01,2022
"Izmir, Turkey",137.36,35.18,69.96,72.91,28.37,10.36,40.36,59.66,96.88,2022
"Curitiba, Brazil",137.26,32.28,37.71,66.29,31.81,13.97,32.24,31.43,99.6,2022
"Sharjah, United Arab Emirates",136.38,56.71,85.83,61.16,49.03,3.83,54.74,48.04,43.35,2022
"Pretoria, South Africa",136.02,87.26,17.98,66.48,42.76,2.08,45.51,55.94,95.83,2022
"Warsaw, Poland",135.18,66.04,73.84,59.39,43.94,14.76,35.2,60.04,74.61,2022
"Wroclaw, Poland",134.88,59.89,71.89,56.89,41.12,11.94,33.84,61.4,78.39,2022
"Novi Sad, Serbia",134.03,42.73,59.06,50.73,37.44,15.16,16.36,50.71,84.02,2022
"Varna, Bulgaria",133.19,46.29,62.89,61.79,39.14,8.62,30.85,62.82,85.08,2022
"Lodz, Poland",133.11,57.76,57.95,57.45,37.94,10.77,34.86,53.45,77.02,2022
"Detroit, MI, United States",132.98,110.05,25.19,62.39,70.68,1.39,45.09,59.4,66.03,2022
"London, United Kingdom",132.83,88.79,46.75,70.62,85.62,14.5,43.72,58.22,88.25,2022
"Krakow (Cracow), Poland",132.72,67.1,72.42,59.31,41.3,12.26,30.81,70.32,73.86,2022
"Turin, Italy",131.99,67.23,50.13,66.91,65.19,7.29,29.52,70.08,85.66,2022
"Bangalore, India",128.82,102.64,44.82,65.23,28.2,5.7,52.64,83.54,89.39,2022
"Iasi, Romania",128.52,44.06,70.51,56.33,37.13,11.57,34.26,58.24,73.04,2022
"Ankara, Turkey",128.17,39.07,60.26,69.1,27.17,11.06,36.44,65.6,91.49,2022
"Lviv, Ukraine",127.46,38.3,60.41,59.6,29.67,11.47,32.94,51.31,69.61,2022
"San Juan, Puerto Rico",126.22,66.7,31.16,63.45,70.14,5.54,37.46,50.83,71.25,2022
"Campinas, Brazil",125.34,31.54,33.5,60.98,39.76,11.75,27.96,47.5,98.87,2022
"Budapest, Hungary",125.15,52.66,64.6,51.18,46.13,14.63,38.97,54.14,78.41,2022
"Sofia, Bulgaria",124.66,55.31,57.48,57.48,42.24,9.02,30.7,68.92,76.01,2022
"Johannesburg, South Africa",124.6,72.15,19.27,60.54,44.87,2.99,40.68,61.14,91.38,2022
"Paris, France",124.21,80.2,45.04,79.64,84.35,19.15,42.52,64.31,88.39,2022
"Chiang Mai, Thailand",124.13,29.88,76.69,83.81,42.22,16.59,25.75,76.97,75.93,2022
"Coimbatore, India",123.23,40.73,60.04,70.76,23.45,9.25,47.5,63.1,78.1,2022
"Medellin, Colombia",122.94,32.78,48.01,77.05,28.81,13.74,39.18,63.07,99.76,2022
"Guadalajara, Mexico",122.89,35.99,38.23,79.95,34.05,8.22,40.72,62.34,92.83,2022
"Astana (Nur-Sultan), Kazakhstan",122.66,41.0,66.81,67.28,30.3,7.94,31.86,51.36,21.26,2022
"Monterrey, Mexico",122.44,42.98,52.56,68.72,38.46,9.17,31.3,69.98,80.37,2022
"Seoul, South Korea",122.19,74.5,74.23,82.33,78.66,32.32,42.22,58.75,68.39,2022
"Milan, Italy",120.74,53.96,55.44,72.0,74.8,16.38,36.5,66.95,88.12,2022
"Florianopolis, Brazil",120.62,29.31,48.21,58.92,34.39,17.83,46.59,39.82,97.0,2022
"Yerevan, Armenia",120.4,29.73,77.99,56.94,34.01,17.11,31.82,56.98,63.42,2022
"Bucharest, Romania",119.28,53.15,72.06,54.88,40.1,10.14,41.27,75.57,75.61,2022
"Sarajevo, Bosnia And Herzegovina",119.1,43.73,55.51,57.77,38.42,11.74,28.63,68.12,78.18,2022
"Montevideo, Uruguay",118.21,30.79,45.62,68.28,52.0,20.33,37.84,48.68,98.04,2022
"Pune, India",118.18,53.68,58.42,66.24,27.57,12.05,43.47,70.85,74.32,2022
"Athens, Greece",117.55,40.03,44.11,56.66,58.97,11.78,38.08,57.29,95.18,2022
"San Jose, Costa Rica",116.6,42.86,44.63,62.49,47.65,9.61,64.02,51.95,99.48,2022
"Chisinau, Moldova",116.33,34.38,55.2,49.47,31.82,10.46,27.55,64.55,76.91,2022
"Thessaloniki, Greece",116.14,37.91,46.25,56.21,58.4,11.18,29.19,63.72,88.39,2022
"Hyderabad, India",115.28,51.21,56.04,64.95,26.61,8.71,42.8,76.41,73.54,2022
"Tbilisi, Georgia",114.4,29.47,74.93,53.73,30.95,13.63,37.57,73.36,84.2,2022
"Amman, Jordan",113.05,29.51,61.99,65.67,52.18,8.83,42.39,75.68,89.05,2022
"Kiev (Kyiv), Ukraine",112.76,48.16,54.55,57.03,34.11,11.43,42.96,65.38,69.95,2022
"Kuwait City, Kuwait",112.25,68.84,69.2,59.62,48.0,15.75,32.11,65.81,20.22,2022
"Ahmedabad, India",111.38,39.11,67.43,66.43,26.01,10.48,38.2,73.19,49.27,2022
"Kuala Lumpur, Malaysia",111.32,64.04,36.15,67.76,39.25,9.12,41.78,66.59,56.55,2022
"Porto Alegre, Brazil",111.06,31.24,26.44,63.3,32.33,16.05,31.98,56.43,98.74,2022
"Rome, Italy",110.32,51.33,46.85,60.46,71.0,17.09,41.36,66.27,93.7,2022
"Quito, Ecuador",109.99,29.69,39.28,68.56,40.48,12.75,42.14,66.1,98.97,2022
"Kharkiv, Ukraine",109.93,33.98,51.46,47.75,30.46,10.54,37.82,56.67,65.35,2022
"Belgrade, Serbia",108.21,36.05,61.91,54.28,40.05,21.36,35.91,65.4,84.14,2022
"Panama City, Panama",108.21,32.31,52.53,59.69,54.54,11.73,34.61,64.47,67.84,2022
"Gurgaon, India",107.74,74.9,44.27,65.42,34.1,7.22,37.63,91.57,59.87,2022
"Minsk, Belarus",107.65,31.15,40.15,46.52,32.79,18.86,30.22,41.56,64.37,2022
"Odessa (Odesa), Ukraine",107.26,32.72,46.45,50.81,31.94,12.21,36.51,63.07,79.0,2022
"Moscow, Russia",105.57,49.56,62.33,64.61,42.2,22.23,51.08,56.82,55.83,2022
"Baku, Azerbaijan",104.86,28.03,69.14,44.57,31.6,16.83,37.63,75.61,91.4,2022
"Istanbul, Turkey",104.78,28.73,52.46,69.18,31.14,16.26,52.27,69.17,93.02,2022
"Belo Horizonte, Brazil",104.45,20.99,36.23,63.61,32.5,20.78,43.23,52.05,98.5,2022
"Saint Petersburg, Russia",103.4,40.77,60.88,59.41,37.81,17.95,48.35,62.15,60.64,2022
"Skopje, North Macedonia",103.27,37.02,52.92,55.58,34.9,12.93,28.11,82.77,76.3,2022
"Shenzhen, China",103.2,68.96,66.97,59.57,51.08,44.03,36.45,62.39,81.8,2022
"Chennai, India",102.91,46.31,59.43,70.26,26.08,14.72,47.53,75.12,53.22,2022
"Lahore, Pakistan",102.53,24.42,61.26,63.0,21.53,14.13,33.78,78.62,67.56,2022
"Santiago, Chile",102.07,32.08,42.36,65.99,45.64,18.59,36.99,70.14,90.21,2022
"Noida, India",98.97,62.57,42.03,66.78,29.21,6.4,44.96,92.43,58.9,2022
"Hong Kong, Hong Kong",98.42,65.74,78.08,66.34,80.71,46.93,42.56,67.57,83.64,2022
"Hanoi, Vietnam",97.48,30.67,61.86,57.1,36.85,17.27,28.68,89.42,79.04,2022
"Dnipro, Ukraine",97.47,32.74,48.56,52.26,29.26,10.81,32.83,80.75,69.52,2022
"Guatemala City, Guatemala",94.93,24.37,37.54,61.9,44.59,14.84,48.19,72.38,99.89,2022
"Yekaterinburg, Russia",93.72,57.77,52.75,50.27,33.23,9.51,38.37,76.44,21.33,2022
"Buenos Aires, Argentina",93.66,26.89,36.93,69.39,35.25,33.52,48.15,52.43,98.28,2022
"Kolkata, India",93.0,44.66,53.45,57.74,25.99,9.98,60.36,78.33,60.9,2022
"Tirana, Albania",90.49,31.15,56.1,48.69,38.68,15.72,39.93,88.11,86.43,2022
"Casablanca, Morocco",89.3,34.07,44.41,45.17,36.59,14.76,48.09,82.25,98.08,2022
"Mexico City, Mexico",88.08,36.74,30.93,65.29,37.41,14.17,52.45,82.27,92.37,2022
"Bogota, Colombia",87.04,26.1,35.1,64.73,27.94,23.49,51.96,70.42,97.12,2022
"Kathmandu, Nepal",86.31,23.16,63.08,56.76,29.87,23.07,36.87,95.37,92.64,2022
"Novosibirsk, Russia",85.74,38.35,52.7,55.81,32.26,12.34,40.58,71.7,16.14,2022
"Bangkok, Thailand",85.01,29.77,58.5,77.08,50.36,26.79,46.18,77.28,58.39,2022
"Sao Paulo, Brazil",83.92,29.23,29.8,58.5,37.51,17.0,50.49,79.64,99.04,2022
"Karachi, Pakistan",83.56,29.16,46.59,56.9,20.75,15.14,41.48,89.97,71.32,2022
"Nairobi, Kenya",83.27,29.23,41.06,62.15,35.88,22.13,56.62,79.57,99.79,2022
"Delhi, India",83.1,60.44,40.69,66.86,28.23,15.94,57.37,90.52,58.9,2022
"Shanghai, China",82.66,53.0,65.68,61.64,53.9,43.81,47.42,76.5,83.64,2022
"Almaty, Kazakhstan",82.35,33.55,34.76,47.59,30.22,12.11,38.98,78.45,58.3,2022
"Cairo, Egypt",82.01,24.38,50.22,45.09,32.39,11.0,50.21,91.54,88.45,2022
"Lima, Peru",78.81,28.89,29.83,58.4,34.6,18.37,50.04,85.11,97.69,2022
"Beirut, Lebanon",76.43,15.4,53.13,64.94,120.47,19.48,39.82,93.63,94.74,2022
"Caracas, Venezuela",75.68,15.87,15.73,38.38,45.31,15.91,34.85,73.99,99.93,2022
"Mumbai, India",75.62,48.03,54.82,64.81,29.33,34.64,54.65,83.79,71.48,2022
"Ho Chi Minh City, Vietnam",68.56,30.87,46.16,59.84,39.01,30.58,31.81,92.35,63.44,2022
"Jakarta, Indonesia",67.49,25.32,46.5,56.76,40.86,23.04,52.88,84.42,63.76,2022
"Beijing, China",65.18,53.08,66.64,64.86,49.53,52.21,44.61,82.59,57.64,2022
"Rio de Janeiro, Brazil",64.06,18.93,22.43,44.83,36.67,27.61,51.09,67.86,88.22,2022
"Colombo, Sri Lanka",62.58,18.58,59.59,72.05,33.62,48.45,62.17,60.41,59.11,2022
"Dhaka, Bangladesh",55.07,23.81,35.93,40.16,35.12,17.48,57.85,93.5,71.29,2022
"Lagos, Nigeria",49.38,8.3,34.06,46.27,37.33,12.71,66.78,89.85,60.75,2022
"Tehran, Iran",46.26,14.55,45.14,52.69,31.47,42.99,53.06,81.29,70.99,2022
"Manila, Philippines",43.13,22.24,35.61,63.26,40.77,38.3,54.02,89.86,61.23,2022
